Notes,Score,evidence
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?*",Yes,
Question 11.7: Can you download dependencies using a dependency management tool or package manager?*,Yes,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?*,Yes,
Q12 - How you test your software,,
Question 12.1: Do you have an automated test suite for your software?*,No,
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?*,No,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?*",Yes,
Question 12.4: Are your test results publicly visible?*,Yes,
Question 12.5: Are all manually-run tests documented?*,Yes,
Q13 - How you engage with your community,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?*",No,
Question 13.2: Does your website state how many projects and users are associated with your project?*,No,
Question 13.3: Do you provide success stories on your website?*,No,
Question 13.4: Do you list your important partners and collaborators on your website?*,No,
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?*,Yes,
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?*,No,
Question 13.7: Can users subscribe to notifications to changes to your source code repository?*,Yes,
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?*",Yes,
Q14 - How you manage contributions,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?*",Yes,
Question 14.2: Do you have a contributions policy?*,Yes,
Question 14.3: Is your contributions' policy publicly available?*,Yes,
Question 14.4: Do contributors keep the copyright/IP of their contributions?*,Yes,
Q15 - Your software's copyright and licensing,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?*,No,
Question 15.2: Does each of your source code files include a copyright statement?*,No,
Question 15.3: Does your website and documentation clearly state the licence of your software?*,No,
Question 15.4: Is your software released under an open source licence?*,Yes,
Question 15.5: Is your software released under an OSI-approved open-source licence?*,Yes,
Question 15.6: Does each of your source code files include a licence header?*,Yes,
Question 15.7: Do you have a recommended citation for your software?*,Yes,
Q16 - Your plans for the future,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?*",No,
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?*",No,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?*",No,
